#,Component,Purpose,Qty,Price (USD),Subtotal (USD),Link
1,Micro USB Cable,Power connection,1,1.06,1.06,https://www.amazon.in/gp/product/B09MNFNNVZ/ref=ox_sc_act_title_11?smid=A1WYWER0W24N8S&psc=1
2,HP Laptop Cooling Fan (4-Pin),Air circulation,2,2.99,5.98,https://www.amazon.in/Witamy-15-ACXXX-15-AFXXX-15-BSXXX-813946-001/dp/B09LM8K62Z/
3,Airtight Storage Containers,Main dryer enclosure,2,6.37,12.74,https://www.amazon.in/gp/product/B0FR484TLT/ref=ox_sc_act_title_14?smid=AXOGFIT0PZZ7G&psc=1
4,PC4-M6 Pneumatic Connector,Filament pass-through,2,2.51,2.51,https://www.amazon.in/gp/product/B0CKBTVZ9T/ref=ox_sc_act_title_15?smid=AAJQ3K54TZ6MM&th=1
5,"PTFE Tube (4mm OD, 2mm ID)",Filament guide path,1,5.99,5.99,https://www.amazon.in/Time-3D-Tetra-Fluoro-Ethulene/dp/B0CKBSZFP6/
6,M3 Screws & Nuts Assortment,Assembly / Mounting,1 Kit,4.34,4.34,https://www.amazon.in/Phillips-Screws-pieces-Stainless-Assorted/dp/B0H21GVDZ6/
7,608ZZ Ball Bearings,Rotating base,1 Pack,2.89,2.89,https://www.amazon.in/gp/product/B0D5H72295/ref=ox_sc_act_title_17?smid=A1V350QXQFOZZS&th=1
8,Breadboard and Jumper Wires,Wiring connections and testing,1 Pack,1.79,1.79,https://www.amazon.in/ePro-Labs-KIT-0010-Breadboard-Pieces/dp/B01BLJGS7M/
9,SPDT Mini Toggle Switch,ON/OFF control,1,2.2,2.2,https://www.amazon.in/gp/product/B09WDKT8DK/ref=ox_sc_act_title_19?smid=AJ6SIZC8YQDZX&psc=1
10,Silica Gel Beads (Blue),Moisture absorption,1 Pack,3.4,3.4,https://www.amazon.in/gp/product/B0D96715G3/ref=ox_sc_act_title_20?smid=AB1WHZOSLF8K&th=1
11,Mini LCD Temperature/Humidity Meter,Temperature & humidity monitoring,1,1.8,1.8,https://www.amazon.in/Temperature-Thermo-Hygrometer-Hygrometer-Greenhouse-Enclosure/dp/B0FJRRJ6P8/

Total,,,,44.70,,
Price Date: 14 August 2026,,,,,,
