#,Component,Purpose,Qty,Link
1,Micro USB Cable,Power connection,1,https://www.amazon.in/gp/product/B09MNFNNVZ/ref=ox_sc_act_title_11?smid=A1WYWER0W24N8S&psc=1
2,HP Laptop Cooling Fan (4-Pin),Air circulation,2,https://www.amazon.in/Time-3D-Tetra-Fluoro-Ethulene/dp/B0CKBSZFP6/ref=cart_prsubs_d_sccl_3/524-8491303-9102210?pd_rd_w=ytbCm&content-id=amzn1.sym.7e6f4ca7-742c-40dd-aa7f-9aaaec0c906b&pf_rd_p=7e6f4ca7-742c-40dd-aa7f-9aaaec0c906b&pf_rd_r=53W32VP3AP9HFCA0J9WF&pd_rd_wg=XSHb8&pd_rd_r=4c244c60-9feb-4da9-8570-fe209e4c505d&pd_rd_i=B0CKBSZFP6&th=1
3,Airtight Storage Containers,Main dryer enclosure,2,https://www.amazon.in/gp/product/B0FR484TLT/ref=ox_sc_act_title_14?smid=AXOGFIT0PZZ7G&psc=1
4,PC4-M6 Pneumatic Connector,Filament pass-through,2,https://www.amazon.in/gp/product/B0CKBTVZ9T/ref=ox_sc_act_title_15?smid=AAJQ3K54TZ6MM&th=1
5,"PTFE Tube (4mm OD, 2mm ID)",Filament guide path,1,https://www.amazon.in/Time-3D-Tetra-Fluoro-Ethulene/dp/B0CKBSZFP6/ref=sr_1_3?crid=8ALOYXJBCH3I&dib=eyJ2IjoiMSJ9.mqAnoObkZFxyyzpvULjQQe6MZuiwqv-VYl5ur-w86jILDtuqysRBmHFT2PGjnGkzMtRjF69ZHqcq5p3Lo18TKAOmmH8q0op9HWjrVLy9F2c2HrNEmrMH62OboY3dWygG5AYb-XFwp47hJ1EQjB6vfDFut3N2SgaztXy9BziGzDG1ylLvCsQ2aXCc3fMkhXDSUFYzxHC7FhIfeEcS9S46ozttlw2ls775j76LhUGGtlvWPjp4IT6PsfCh6tTJ6DpPsRe3su53rU-bk3wlCSJtiyH-OQfqy5tnPVAyUWh5Fgc.chzGI-DMuYY1hFKvC49jGRrj-Z5_7J9sHJ7wQeSZyC8&dib_tag=se&keywords=ptfe%2Btube&qid=1781898036&sprefix=ptfe%2Caps%2C280&sr=8-3&th=1
6,M3 Screws & Nuts Assortment,Assembly / Mounting,1 Kit,https://www.amazon.in/Phillips-Screws-pieces-Stainless-Assorted/dp/B0H21GVDZ6/ref=sr_1_17?dib=eyJ2IjoiMSJ9.qeaFFacOjI_CDmvulhcWbU3RG2uS-R6aRqpuf1x4hGC_3DCAB5NZ0U9QXrEREGf_7qo3CZuntWegFBn9DR7MzYMniy9yK5HlRpQrStTfjlSg6epKyuvVn6C_U1zbPzCIbhpvT3pTNpT3WQxX7gtBXvSGdCZp67F3cIlZYVO1emh6c72i75GZBveQGvdhvKTY9G-7L0ELT8YW-f4hhVF20o-VIKQJaWjB3x8rjH9kRoXFfisdKEMkOYIf0SPuWynzwv0LyS8am1uce7TF9DDVAjJYR70GaVpco1M5O2A4Ef8.objfV4eM_c49QSYp0zOgL60TN2_Bery2keG-JRjpjI8&dib_tag=se&keywords=m3+screws&qid=1781898100&sr=8-17
7,Ball Bearings,Rotating base,1,https://www.amazon.in/gp/product/B0D5H72295/ref=ox_sc_act_title_17?smid=A1V350QXQFOZZS&th=1
8,Breadboard and Wires,Wiring connections and testing,1 Pack,https://www.amazon.in/ePro-Labs-KIT-0010-Breadboard-Pieces/dp/B01BLJGS7M/ref=sr_1_13_mod_primary_new?crid=1PZ4L6M35P0NS&dib=eyJ2IjoiMSJ9.NpiqG_GJTt7YLKhI8CJEN9pTX6fMRTcLXJxd-_GekMPcnwkdD1h4u-2kdh9SgHCE-jGyW_ISrTzErExY-RNiHOGCxanZDpq6pFiHm8QYJC01vLhXiC1NVI6TJbrA4zG64Dt9F-CQK7djhKPSmBjLyZ-ZhXiIAcUIwxJA43Tc8UWRWAxnFEg4Ho5pWqAsN3IBOhPHTKrvMy8al2GXysvEyb6lbVBTu8aJIQ_H_x_ippKhQxev6flc9Y0pJHjBnf7Qa6WTckWJsouTa7tCKObqLM29BkTy4ZOTCiDuyLfq7zc.l4YbAjNaEO6TDnvOZN5oUgYPDvon85qRFz0s4vEV1Pw&dib_tag=se&keywords=jumper+wire+set&qid=1781898312&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=jumper+wire+set%2Caps%2C308&sr=8-13
9,SPDT Mini Toggle Switch,ON/OFF control,1,https://www.amazon.in/gp/product/B09WDKT8DK/ref=ox_sc_act_title_19?smid=AJ6SIZC8YQDZX&psc=1
10,Silica Gel Beads (Blue),Moisture absorption,1 Pack,https://www.amazon.in/gp/product/B0D96715G3/ref=ox_sc_act_title_20?smid=AB1WHZOSLF8K&th=1
11,Mini LCD Temperature/Humidity Meter,Temperature & humidity monitoring,1,https://www.amazon.in/Gadget-Heros-Hygrometer-Temperature-Thermometer/dp/B0146CP5FC/ref=sr_1_50?crid=34EU6W0NGM7LT&dib=eyJ2IjoiMSJ9.T2iBjlFdWD8qcEET9bAwaIXa4yRfz9PlX0TNaBV0dg9yHc4NsQCJ6z9ZGZMThYRP3VnIgQ_RLrF7Py_8M_Pc73BCINo4Z4NJODWjfRGge5oG9pnQ7c44C6IN0fUL1K9KKPi_rAoulpSNZaaEVMgVoDWJxMVme0SRjxazjp3HtdsaKgxcOdH0McsRqdcmXSaL-ba5lmZhytrd9KlOX86LokMxNDH3KBt7PmY9QMGnXQWvToXa1IcaGWJzowsGoO_S1yjPj2CLWJbAaDdV9EHxp8OHPzdswrj4-RA8U7TC0pI.yilCopIsXW5uGFzOVdJFjA2tOZWlyH7wDHaFzA17VGU&dib_tag=se&keywords=humidity+meter&qid=1781898575&sprefix=humidity+%2Caps%2C316&sr=8-50
